position	p	q
3172	0.5282443640000001	0.4717556359999999
6046	0.598332852	0.40166714800000003
8634	0.604274624	0.395725376
11197	0.619722364	0.380277636
14147	0.633560628	0.366439372
16957	0.5835365800000001	0.4164634199999999
19643	0.32651075183999995	0.6734892481600001
22235	0.6119089520000001	0.38809104799999994
24840	0.6186652727999998	0.38133472720000017
27357	0.64342232	0.35657768
29870	0.621999596	0.378000404
32409	0.68384314	0.31615686
34910	0.6400456959999999	0.35995430400000006
37642	0.678461616	0.321538384
40266	0.6806691919999999	0.31933080800000013
42777	0.6781344715999998	0.32186552840000016
45299	0.5770553255999998	0.42294467440000016
47806	0.6604871639999998	0.33951283600000015
50308	0.6646367016000001	0.3353632983999999
53099	0.6923659888	0.3076340112
56290	0.7319582132	0.2680417868
59210	0.7261130960000002	0.2738869039999998
61721	0.7214644440000003	0.2785355559999997
64258	0.7332229279999999	0.2667770720000001
66763	0.73631388	0.26368612
69322	0.752487108	0.24751289200000004
71851	0.6728975560000001	0.3271024439999999
74459	0.7054197679999998	0.29458023200000016
77047	0.6941609320000001	0.30583906799999994
79568	0.6870410999999998	0.31295890000000015
82072	0.703122322	0.296877678
84585	0.7059342160000002	0.29406578399999983
87156	0.6804664600000001	0.3195335399999999
89732	0.6233026756400001	0.3766973243599999
92289	0.6417435988000001	0.3582564011999999
94809	0.6518184798760001	0.34818152012399994
97333	0.6622896072000001	0.3377103927999999
99835	0.6360371456	0.3639628544
102400	0.6534133156	0.34658668439999996
105065	0.6379559042800002	0.36204409571999985
107714	0.6389353315999999	0.36106466840000007
110359	0.6143409816	0.38565901840000005
112880	0.458793552	0.5412064480000001
115573	0.631043228	0.368956772
118239	0.62876098	0.37123902
120890	0.629611016	0.370388984
123444	0.613811056	0.38618894400000003
183672	0.5065244880000002	0.49347551199999984
186411	0.4708068367999999	0.5291931632000001
189020	0.4895299628	0.5104700372
191552	0.3835511918000001	0.6164488081999999
194063	0.4875943602400001	0.5124056397599999
196742	0.45980902792	0.54019097208
199398	0.4735995729199999	0.5264004270800001
201904	0.5078163704	0.49218362959999995
204440	0.52891009968	0.47108990032
207008	0.49966093300000003	0.500339067
209935	0.4585261952079999	0.541473804792
214302	0.5250769621120002	0.47492303788799983
216812	0.6768055639128001	0.3231944360871999
219401	0.5234001552399999	0.47659984476000006
222098	0.5055924998799999	0.4944075001200001
224612	0.5653282356	0.4346717644
227134	0.5635062224999999	0.43649377750000007
229742	0.54613374488	0.45386625512
232384	0.5544138952	0.44558610480000005
234906	0.5497724398120001	0.4502275601879999
237424	0.483912554956	0.5160874450440001
239940	0.5665542875120001	0.4334457124879999
242634	0.4225004992800001	0.5774995007199999
245143	0.5792974707999999	0.42070252920000006
247654	0.6040547260000001	0.3959452739999999
250230	0.64004587052	0.35995412948000005
252802	0.6449089840000001	0.3550910159999999
255521	0.6403789639999999	0.35962103600000006
258089	0.6138156823999998	0.38618431760000016
260601	0.6593217199999999	0.3406782800000001
263227	0.6375701840000001	0.3624298159999999
265731	0.6938213359999998	0.30617866400000016
268251	0.644880656	0.355119344
271034	0.4772663991600002	0.5227336008399999
273539	0.6130572499999999	0.3869427500000001
276141	0.6475446907999999	0.3524553092000001
278788	0.686014924356	0.313985075644
281373	0.664440717456	0.335559282544
283969	0.7874876557720001	0.21251234422799992
286636	0.714864056	0.285135944
289260	0.755970264	0.244029736
291870	0.7566728920000001	0.2433271079999999
294610	0.75211466	0.24788533999999995
297147	0.6949000336000001	0.3050999663999999
299729	0.69449766	0.30550234
302237	0.6807113120000001	0.3192886879999999
304855	0.4016329956	0.5983670044
311092	0.6792425935999999	0.32075740640000006
313637	0.6435838480000001	0.3564161519999999
316149	0.6477944319999999	0.35220556800000014
318664	0.6515961388	0.3484038612
321184	0.5269763228000001	0.47302367719999994
324835	0.5892328052	0.4107671948
328051	0.661360672	0.33863932799999996
333000	0.5977127600000001	0.40228723999999993
335527	0.6061208360000001	0.3938791639999999
338030	0.6288342459999999	0.37116575400000007
342683	0.5701091664000001	0.4298908335999999
345223	0.5860446460000001	0.41395535399999994
347869	0.5785583000000001	0.4214416999999999
350647	0.5259533759999999	0.4740466240000001
353161	0.5123072858792	0.48769271412079995
355755	0.522008072228	0.47799192777199995
358273	0.47318688043999996	0.5268131195600001
360827	0.5168760980000001	0.4831239019999999
363363	0.52561120428	0.47438879572000003
366406	0.5238782012000001	0.47612179879999994
368928	0.528179892	0.47182010799999996
371429	0.5455150181199999	0.4544849818800001
373987	0.5074352392	0.4925647608
376603	0.45774163760000003	0.5422583623999999
379105	0.44045329879999995	0.5595467012
381837	0.46924043160000006	0.5307595683999999
386030	0.517772524	0.48222747600000004
388619	0.547111568	0.45288843199999995
391139	0.5551709920000001	0.4448290079999999
393646	0.5182124296	0.4817875704
396167	0.6261176871319999	0.3738823128680001
398681	0.5717382756	0.4282617244
401417	0.5530499528	0.4469500472
403938	0.566849324	0.433150676
406444	0.5707160500800001	0.42928394991999985
408998	0.4901761232	0.5098238768000001
411545	0.5509732528	0.4490267472
414175	0.5199177156	0.4800822844
416814	0.49976982160000005	0.5002301784
419411	0.554191011604	0.445808988396
421977	0.53901581312	0.46098418688
424510	0.46171654316	0.53828345684
427046	0.5457828104	0.4542171896
429771	0.534425143904	0.465574856096
432281	0.696270250236	0.303729749764
434969	0.53994089972	0.46005910027999997
437479	0.5742146712	0.4257853288
440065	0.5998178487359999	0.40018215126400014
442604	0.5521793404	0.44782065959999995
445176	0.47482626908000003	0.52517373092
447685	0.51580742808	0.48419257192
450201	0.44134337879999996	0.5586566212
453170	0.5037199356	0.49628006440000005
455788	0.5206079560000001	0.4793920439999999
458325	0.5299967260000001	0.47000327399999986
460854	0.49282278000000007	0.50717722
463382	0.4869010568	0.5130989431999999
465943	0.4998956495999999	0.5001043504000001
468602	0.43430809452000013	0.5656919054799998
471144	0.41271431832	0.5872856816800001
473702	0.49179962398799987	0.5082003760120002
476541	0.42702272884	0.5729772711600001
481062	0.48466678119999995	0.5153332188
484671	0.4915932248000001	0.5084067751999999
487190	0.5171884016	0.4828115984
489702	0.51011866336	0.48988133664
492206	0.4249348834400001	0.5750651165599999
494720	0.5316890624	0.4683109376
497250	0.603248244492	0.396751755508
499988	0.5356824488	0.46431755119999996
502492	0.5382818855600001	0.4617181144399999
505021	0.5333060908000001	0.46669390919999987
507829	0.5242277667999999	0.47577223320000006
510384	0.5082920412	0.49170795879999996
512957	0.37190917640000004	0.6280908236
515581	0.38771095640000014	0.6122890435999999
518125	0.517998148	0.482001852
520691	0.5203954719999999	0.4796045280000001
523306	0.5384588280000001	0.4615411719999999
525814	0.5608857612000001	0.4391142387999999
528324	0.518663056	0.48133694400000004
534076	0.538677672	0.46132232799999995
587487	0.2830967004	0.7169032996
590023	0.468413932424	0.531586067576
